Departamento,Municipio,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
Retalhuleu,El Asintal,"35,428","36,571","37,751","38,972","40,239","41,543","42,878","44,235","45,620","47,038","48,482","49,943","51,412",,,
San Marcos,San Marcos,"46,065","47,466","48,919","50,437","52,019","53,648","55,304","56,971","58,660","60,383","62,122","63,858","65,571",,,
San Marcos,San Pedro Sacatepéquez,"65,069","66,058","67,075","68,136","69,236","70,350","71,452","72,519","73,567","74,611","75,627","76,593","77,487",,,
San Marcos,San Antonio Sacatepéquez,"18,105","18,596","19,103","19,633","20,184","20,749","21,321","21,892","22,469","23,055","23,643","24,225","24,795",,,
San Marcos,Comitancillo,"56,456","57,884","59,359","60,897","62,495","64,131","65,783","67,428","69,082","70,758","72,434","74,088","75,697",,,
San Marcos,San Miguel Ixtahuacán,"34,035","34,647","35,276","35,933","36,613","37,303","37,992","38,664","39,330","39,997","40,653","41,285","41,881",,,
San Marcos,Concepción Tutuapa,"55,357","56,196","57,060","57,960","58,894","59,839","60,775","61,680","62,569","63,454","64,316","65,136","65,894",,,
San Marcos,Tacaná,"71,674","72,939","74,241","75,598","77,004","78,432","79,853","81,241","82,614","83,988","85,338","86,637","87,860",,,
San Marcos,Sibinal,"15,168","15,433","15,706","15,991","16,286","16,585","16,883","17,174","17,462","17,750","18,032","18,304","18,559",,,
San Marcos,Tajumulco,"50,989","52,366","53,791","55,277","56,823","58,409","60,014","61,619","63,236","64,880","66,528","68,162","69,760",,,
San Marcos,Tejutla,"31,139","31,624","32,123","32,644","33,184","33,730","34,272","34,797","35,313","35,827","36,329","36,807","37,251",,,
San Marcos,San Rafael Pie de La Cuesta,"14,735","14,968","15,207","15,457","15,716","15,978","16,238","16,491","16,739","16,986","17,228","17,458","17,673",,,
San Marcos,Nuevo Progreso,"32,801","33,754","34,742","35,774","36,849","37,954","39,075","40,201","41,339","42,498","43,666","44,829","45,972",,,
San Marcos,El Tumbador,"39,405","39,953","40,517","41,105","41,715","42,332","42,941","43,526","44,098","44,667","45,218","45,737","46,212",,,
San Marcos,El Rodeo,"15,939","16,193","16,454","16,727","17,009","17,295","17,579","17,854","18,125","18,395","18,659","18,911","19,146",,,
San Marcos,Malacatán,"92,034","95,116","98,320","101,675","105,178","108,795","112,490","116,227","120,030","123,926","127,877","131,843","135,785",,,
San Marcos,Catarina,"30,906","31,815","32,757","33,742","34,767","35,821","36,893","37,968","39,056","40,165","41,283","42,396","43,492",,,
San Marcos,Ayutla,"34,056","34,999","35,977","36,996","38,057","39,146","40,249","41,354","42,468","43,602","44,741","45,871","46,978",,,
San Marcos,Ocós,"37,889","39,142","40,445","41,808","43,231","44,700","46,200","47,715","49,257","50,835","52,435","54,040","55,633",,,
San Marcos,San Pablo,"46,703","48,170","49,694","51,287","52,948","54,659","56,403","58,160","59,943","61,765","63,606","65,448","67,270",,,
San Marcos,El Quetzal,"21,821","22,218","22,627","23,053","23,495","23,944","24,391","24,829","25,262","25,697","26,124","26,536","26,925",,,
San Marcos,La Reforma,"15,140","15,225","15,314","15,410","15,512","15,613","15,708","15,793","15,870","15,944","16,009","16,061","16,095",,,
San Marcos,Pajapita,"21,392","22,086","22,807","23,562","24,349","25,161","25,989","26,826","27,676","28,545","29,426","30,308","31,182",,,
San Marcos,Ixchiguán,"25,623","26,383","27,171","27,995","28,852","29,734","30,631","31,531","32,443","33,372","34,309","35,243","36,163",,,
San Marcos,San José Ojetenam,"18,606","18,895","19,192","19,502","19,824","20,149","20,472","20,784","21,092","21,398","21,697","21,981","22,245",,,
San Marcos,San Cristóbal Cucho,"15,665","15,908","16,158","16,419","16,689","16,963","17,234","17,497","17,755","18,013","18,264","18,503","18,725",,,
San Marcos,Sipacapa,"16,774","17,158","17,554","17,967","18,396","18,834","19,274","19,711","20,147","20,588","21,027","21,458","21,873",,,
San Marcos,Esquipulas Palo Gordo,"10,576","10,855","11,143","11,444","11,757","12,077","12,401","12,725","13,050","13,381","13,712","14,040","14,360",,,
San Marcos,Río Blanco,"5,335","5,400","5,468","5,539","5,612","5,686","5,759","5,829","5,896","5,963","6,027","6,087","6,140",,,
San Marcos,San Lorenzo,"11,136","11,335","11,539","11,752","11,973","12,198","12,421","12,639","12,855","13,072","13,284","13,489","13,682",,,
Huehuetenango,Huehuetenango,"100,673","103,259","105,849","108,461","111,108","113,756","116,372","118,925","121,433","123,918","126,347","128,687","130,908",,,
Huehuetenango,Chiantla,"82,000","84,720","87,441","90,235","93,092","95,986","98,889","101,774","104,657","107,555","110,440","113,260","115,979",,,
Huehuetenango,Malacatancito,"19,177","19,661","20,145","20,634","21,128","21,622","22,110","22,585","23,051","23,513","23,963","24,397","24,807",,,
Huehuetenango,Cuilco,"54,889","55,984","57,067","58,148","59,234","60,306","61,347","62,342","63,300","64,234","65,126","65,961","66,724",,,
Huehuetenango,Nentón,"38,820","40,204","41,614","43,056","44,535","46,040","47,557","49,073","50,596","52,133","53,672","55,199","56,698",,,
Huehuetenango,San Pedro Necta,"31,112","31,774","32,430","33,088","33,749","34,405","35,045","35,659","36,255","36,837","37,398","37,926","38,415",,,
Huehuetenango,Jacaltenango,"41,112","41,986","42,853","43,720","44,593","45,458","46,303","47,113","47,899","48,667","49,406","50,103","50,748",,,
Huehuetenango,Soloma,"45,142","46,410","47,686","48,977","50,290","51,609","52,920","54,207","55,480","56,748","57,996","59,209","60,372",,,
Huehuetenango,San Idelfonso Ixtahuacán,"38,918","40,070","41,233","42,412","43,614","44,824","46,031","47,220","48,401","49,581","50,746","51,884","52,982",,,
Huehuetenango,Santa Bárbara,"16,665","16,827","16,980","17,129","17,273","17,410","17,533","17,639","17,730","17,811","17,878","17,926","17,951",,,
Huehuetenango,La Libertad,"34,865","35,697","36,528","37,363","38,207","39,048","39,876","40,678","41,463","42,237","42,988","43,707","44,383",,,
Huehuetenango,La Democracia,"41,803","42,501","43,185","43,863","44,539","45,201","45,835","46,430","46,994","47,535","48,042","48,503","48,908",,,
Huehuetenango,San Miguel Acatán,"24,329","24,639","24,939","25,233","25,524","25,803","26,064","26,301","26,517","26,719","26,900","27,053","27,174",,,
Huehuetenango,San Rafael la Independencia,"11,638","11,734","11,824","11,910","11,993","12,070","12,138","12,193","12,239","12,277","12,305","12,320","12,319",,,
Huehuetenango,Todos Santos Cuchumatán,"32,048","32,834","33,619","34,411","35,211","36,009","36,796","37,561","38,310","39,049","39,770","40,461","41,113",,,
Huehuetenango,San Juan Atitán,"14,860","15,044","15,221","15,394","15,565","15,729","15,882","16,019","16,145","16,261","16,365","16,451","16,518",,,
Huehuetenango,Santa Eulalia,"40,684","42,183","43,711","45,276","46,885","48,524","50,180","51,837","53,506","55,194","56,887","58,571","60,229",,,
Huehuetenango,San Mateo Ixtatán,"36,374","37,213","38,049","38,888","39,735","40,577","41,404","42,204","42,983","43,750","44,494","45,202","45,864",,,
Huehuetenango,Colotenango,"25,091","25,502","25,904","26,303","26,701","27,089","27,461","27,809","28,138","28,454","28,748","29,015","29,249",,,
Huehuetenango,San Sebastián Huehuetenango,"26,397","27,094","27,792","28,498","29,213","29,930","30,639","31,333","32,015","32,693","33,356","33,997","34,608",,,
Huehuetenango,Tectitán,"7,861","7,942","8,019","8,094","8,167","8,237","8,300","8,355","8,403","8,447","8,484","8,511","8,529",,,
Huehuetenango,Concepción,"18,378","18,548","18,708","18,863","19,013","19,154","19,280","19,387","19,479","19,558","19,622","19,665","19,684",,,
Huehuetenango,San Juan Ixcoy,"24,464","25,154","25,847","26,550","27,265","27,983","28,696","29,397","30,091","30,782","31,462","32,123","32,758",,,
Huehuetenango,San Antonio Huista,"16,187","16,666","17,149","17,639","18,139","18,641","19,143","19,637","20,127","20,617","21,101","21,574","22,030",,,
Huehuetenango,San Sebastián Coatán,"22,316","22,889","23,462","24,041","24,628","25,214","25,794","26,359","26,915","27,465","28,003","28,522","29,014",,,
Huehuetenango,Santa Cruz Barillas,"115,050","120,993","127,168","133,606","140,332","147,314","154,518","161,905","169,506","177,354","185,408","193,625","201,954",,,
Huehuetenango,Aguacatán,"49,631","50,663","51,687","52,710","53,740","54,759","55,751","56,703","57,624","58,523","59,386","60,198","60,946",,,
Huehuetenango,San Rafael Petzal,"7,821","8,006","8,190","8,376","8,563","8,749","8,933","9,110","9,284","9,455","9,621","9,780","9,928",,,
Huehuetenango,San Gaspar Ixchil,"6,587","6,684","6,779","6,872","6,965","7,055","7,141","7,220","7,294","7,364","7,428","7,485","7,533",,,
Huehuetenango,Santiago Chimaltenanango,"6,769","6,891","7,011","7,131","7,250","7,368","7,481","7,588","7,691","7,790","7,883","7,970","8,047",,,
Huehuetenango,Santa Ana Huista,"8,583","8,738","8,890","9,042","9,194","9,343","9,486","9,622","9,752","9,878","9,996","10,106","10,204",,,
Huehuetenango,Unión Cantinil,"16,324","16,845","17,408","17,964","18,533","19,109","19,687","20,262","20,836","21,414","21,988","22,577","23,182",,,
Quiché,Santa Cruz del Quiché,"87,210","90,886","94,702","98,666","102,782","107,041","111,435","115,958","120,615","125,415","130,350","135,409","140,585",,,
Quiché,Chiché,"24,740","25,430","26,135","26,857","27,595","28,345","29,105","29,872","30,647","31,431","32,221","33,014","33,807",,,
Quiché,Chinique,"9,811","10,058","10,309","10,566","10,827","11,092","11,359","11,627","11,897","12,169","12,441","12,714","12,984",,,
Quiché,Zacualpa,"36,748","38,978","41,337","43,832","46,472","49,258","52,191","55,275","58,517","61,927","65,507","69,259","73,184",,,
Quiché,Chajul,"44,885","46,836","48,864","50,973","53,166","55,438","57,787","60,208","62,705","65,282","67,936","70,661","73,454",,,
Quiché,Chichicastenango,"133,700","137,367","141,113","144,943","148,855","152,833","156,860","160,920","165,019","169,162","173,334","177,518","181,700",,,
Quiché,Patzité,"5,528","5,640","5,753","5,868","5,984","6,100","6,217","6,333","6,448","6,564","6,678","6,791","6,902",,,
Quiché,San Antonio Ilotenango,"19,674","19,999","20,326","20,657","20,989","21,322","21,651","21,976","22,297","22,614","22,926","23,231","23,526",,,
Quiché,San Pedro Jocopilas,"26,434","27,067","27,711","28,367","29,035","29,710","30,390","31,072","31,755","32,443","33,131","33,816","34,496",,,
Quiché,Cunén,"32,451","33,409","34,389","35,395","36,424","37,473","38,539","39,617","40,709","41,816","42,934","44,060","45,190",,,
Quiché,San Juan Cotzal,"25,065","25,759","26,469","27,195","27,937","28,692","29,457","30,228","31,006","31,794","32,587","33,384","34,180",,,
Quiché,Joyabaj,"69,278","71,678","74,150","76,697","79,321","82,012","84,765","87,569","90,430","93,352","96,326","99,344","102,398",,,
Quiché,Nebaj,"73,216","76,076","79,036","82,101","85,272","88,542","91,905","95,352","98,888","102,519","106,237","110,034","113,902",,,
Quiché,San Andrés Sajcabajá,"23,278","23,858","24,449","25,052","25,666","26,287","26,915","27,544","28,177","28,814","29,453","30,091","30,725",,,
Quiché,Uspantán,"57,348","59,607","61,946","64,368","66,875","69,462","72,123","74,851","77,651","80,528","83,475","86,485","89,553",,,
Quiché,Sacapulas,"43,180","44,196","45,229","46,279","47,348","48,428","49,516","50,604","51,696","52,792","53,888","54,979","56,061",,,
Quiché,San Bartolomé Jocotenango,"12,722","13,345","13,996","14,677","15,389","16,132","16,904","17,705","18,536","19,400","20,295","21,220","22,175",,,
Quiché,Canillá,"11,225","11,522","11,824","12,133","12,448","12,768","13,091","13,416","13,744","14,075","14,408","14,741","15,073",,,
Quiché,Chicamán,"32,178","33,144","34,133","35,148","36,188","37,249","38,327","39,418","40,524","41,646","42,781","43,924","45,072",,,
Quiché,Ixcán,"84,377","87,734","91,210","94,813","98,543","102,394","106,356","110,421","114,595","118,886","123,283","127,778","132,361",,,
Quiché,Pachalum,"8,042","8,174","8,307","8,441","8,577","8,712","8,846","8,978","9,108","9,237","9,364","9,487","9,607",,,
Baja Verapaz,Salamá,"52,605","53,479","54,399","55,373","56,399","57,462","58,547","59,640","60,749","61,882","63,024","64,162","65,282",,,
Baja Verapaz,San Miguel Chicaj,"26,147","26,622","27,122","27,651","28,207","28,783","29,372","29,967","30,572","31,190","31,816","32,440","33,058",,,
Baja Verapaz,Rabinal,"34,106","34,601","35,124","35,680","36,267","36,874","37,494","38,116","38,745","39,386","40,031","40,670","41,296",,,
Baja Verapaz,Cubulco,"54,695","56,427","58,248","60,169","62,192","64,303","66,488","68,732","71,048","73,445","75,909","78,424","80,975",,,
Baja Verapaz,Granados,"11,200","11,223","11,253","11,291","11,336","11,384","11,433","11,480","11,527","11,574","11,619","11,659","11,693",,,
Baja Verapaz,El Chol,"8,841","8,920","9,004","9,096","9,194","9,296","9,399","9,502","9,605","9,710","9,814","9,915","10,012",,,
Baja Verapaz,San Jerónimo,"20,634","21,131","21,653","22,204","22,782","23,382","24,000","24,628","25,271","25,932","26,606","27,286","27,968",,,
Baja Verapaz,Purulhá,"43,820","45,473","47,215","49,059","51,005","53,046","55,169","57,366","59,646","62,020","64,476","67,003","69,589",,,
Alta Verapaz,Cobán,"200,084","207,797","215,796","224,104","232,703","241,569","250,675","259,997","269,556","279,372","289,421","299,673","310,102",,,
Alta Verapaz,Santa Cruz Verapaz,"29,789","31,420","33,138","34,951","36,857","38,858","40,952","43,137","45,420","47,808","50,299","52,893","55,587",,,
Alta Verapaz,San Cristóbal Verapaz,"54,704","56,163","57,657","59,192","60,760","62,353","63,963","65,583","67,216","68,867","70,528","72,191","73,848",,,
Alta Verapaz,Tactic,"31,436","32,334","33,255","34,203","35,174","36,162","37,165","38,176","39,198","40,235","41,281","42,332","43,383",,,
Alta Verapaz,Tamahú,"17,347","17,987","18,650","19,337","20,047","20,778","21,527","22,292","23,075","23,877","24,697","25,531","26,378",,,
Alta Verapaz,Tucurú,"36,818","37,921","39,055","40,223","41,421","42,643","43,885","45,140","46,412","47,705","49,011","50,328","51,648",,,
Alta Verapaz,Panzós,"54,552","55,764","56,999","58,263","59,547","60,843","62,144","63,441","64,739","66,041","67,340","68,629","69,900",,,
Alta Verapaz,Senahú,"63,100","64,105","65,123","66,158","67,201","68,242","69,272","70,284","71,281","72,268","73,237","74,181","75,091",,,
Alta Verapaz,San Pedro Carchá,"195,119","201,343","207,755","214,372","221,172","228,128","235,213","242,397","249,699","257,136","264,679","272,300","279,972",,,
Alta Verapaz,San Juan Chamelco,"51,143","52,759","54,423","56,141","57,905","59,709","61,545","63,407","65,298","67,223","69,175","71,147","73,130",,,
Alta Verapaz,Lanquín,"21,730","22,419","23,128","23,860","24,612","25,381","26,164","26,958","27,765","28,587","29,419","30,261","31,107",,,
Alta Verapaz,Cahabon,"54,024","55,441","56,891","58,380","59,901","61,445","63,004","64,571","66,150","67,745","69,349","70,953","72,551",,,
Alta Verapaz,Chisec,"59,927","61,725","63,570","65,473","67,423","69,414","71,436","73,480","75,553","77,656","79,786","81,929","84,082",,,
Alta Verapaz,Chahal,"22,835","23,650","24,493","25,367","26,268","27,194","28,142","29,109","30,096","31,107","32,138","33,185","34,246",,,
Alta Verapaz,Fray Bartolomé de las Casas,"57,376","59,054","60,777","62,552","64,370","66,224","68,104","70,004","71,927","73,879","75,850","77,834","79,821",,,
Alta Verapaz,La Tinta,"34,543","35,518","36,519","37,549","38,602","39,675","40,762","41,859","42,967","44,089","45,222","46,359","47,496",,,
Alta Verapaz,Raxruhá,"29,892","30,786","31,709","32,657","33,630","34,623","35,631","36,651","37,685","38,735","39,796","40,866","41,938",,,
Petén,Flores,"49,197","51,536","53,867","56,186","58,502","60,819","63,140","65,470","67,805","70,142","72,484","74,836","77,202",,,
Petén,San José,"4,929","5,093","5,250","5,401","5,547","5,688","5,824","5,956","6,084","6,208","6,328","6,444","6,556",,,
Petén,San Benito,"49,402","51,913","54,431","56,953","59,486","62,035","64,605","67,199","69,814","72,447","75,101","77,781","80,492",,,
Petén,San Andrés,"35,106","37,036","38,985","40,951","42,941","44,957","47,004","49,083","51,194","53,333","55,504","57,711","59,957",,,
Petén,La Libertad,"101,378","105,674","109,908","114,073","118,188","122,261","126,300","130,313","134,294","138,236","142,147","146,035","149,908",,,
Petén,San Francisco,"14,347","15,043","15,738","16,431","17,124","17,818","18,515","19,216","19,919","20,625","21,333","22,046","22,764",,,
Petén,Santa Ana,"26,197","27,719","29,264","30,831","32,425","34,048","35,703","37,392","39,116","40,871","42,660","44,488","46,356",,,
Petén,Dolores,"44,358","45,810","47,204","48,540","49,826","51,066","52,265","53,427","54,550","55,631","56,676","57,687","58,670",,,
Petén,San Luis,"68,121","70,496","72,792","75,005","77,151","79,234","81,261","83,239","85,163","87,031","88,848","90,620","92,352",,,
Petén,Sayaxché,"94,407","99,446","104,522","109,628","114,781","119,989","125,262","130,606","136,017","141,487","147,025","152,640","158,342",,,
Petén,Melchor de Mencos,"21,184","21,409","21,588","21,724","21,822","21,886","21,920","21,928","21,909","21,865","21,799","21,713","21,610",,,
Petén,Poptún,"55,206","57,685","60,142","62,573","64,988","67,391","69,787","72,180","74,566","76,941","79,311","81,678","84,048",,,
Izabal,Puerto Barrios,"96,259","98,305","100,370","102,463","104,584","106,722","108,863","110,996","113,126","115,260","117,385","119,490","121,562",,,
Izabal,Livingston,"58,788","60,175","61,580","63,008","64,460","65,929","67,406","68,884","70,367","71,858","73,351","74,838","76,310",,,
Izabal,El Estor,"62,970","65,995","69,150","72,444","75,885","79,468","83,189","87,045","91,043","95,195","99,494","103,936","108,513",,,
Izabal,Morales,"104,580","107,194","109,847","112,549","115,300","118,088","120,898","123,719","126,555","129,415","132,285","135,150","137,998",,,
Izabal,Los Amates,"61,038","61,676","62,307","62,934","63,559","64,172","64,768","65,340","65,890","66,424","66,934","67,414","67,859",,,
Zacapa,Zacapa,"65,048","66,037","67,128","68,339","69,655","71,052","72,502","73,980","75,504","77,092","78,716","80,351","81,969",,,
Zacapa,Estanzuela,"10,881","11,003","11,140","11,296","11,469","11,652","11,843","12,037","12,236","12,444","12,656","12,868","13,075",,,
Zacapa,Rio Hondo,"17,629","17,685","17,764","17,871","17,999","18,143","18,294","18,445","18,602","18,768","18,937","19,101","19,255",,,
Zacapa,Gualán,"39,685","39,798","39,964","40,190","40,467","40,776","41,103","41,431","41,771","42,130","42,495","42,851","43,182",,,
Zacapa,Teculután,"16,102","16,375","16,673","17,003","17,360","17,738","18,130","18,531","18,945","19,376","19,818","20,263","20,706",,,
Zacapa,Usumatlán,"10,299","10,459","10,636","10,832","11,045","11,271","11,505","11,745","11,991","12,248","12,511","12,776","13,038",,,
Zacapa,Cabañas,"11,063","11,083","11,117","11,169","11,234","11,308","11,387","11,466","11,547","11,635","11,723","11,809","11,888",,,
Zacapa,San Diego,"5,810","5,828","5,854","5,889","5,931","5,978","6,027","6,077","6,128","6,183","6,238","6,292","6,342",,,
Zacapa,La Unión,"27,425","28,013","28,651","29,347","30,096","30,888","31,712","32,557","33,432","34,345","35,284","36,238","37,195",,,
Zacapa,Huité,"9,370","9,469","9,582","9,711","9,853","10,005","10,163","10,323","10,488","10,660","10,836","11,011","11,182",,,
Chiquimula,Chiquimula,"88,918","90,401","91,951","93,596","95,320","97,102","98,920","100,756","102,620","104,525","106,450","108,376","110,284",,,
Chiquimula,San José La Arada,"7,918","7,997","8,081","8,172","8,268","8,367","8,468","8,568","8,669","8,772","8,875","8,977","9,075",,,
Chiquimula,San Juan Ermita,"12,789","12,945","13,108","13,283","13,468","13,658","13,852","14,046","14,242","14,442","14,643","14,841","15,035",,,
Chiquimula,Jocotán,"50,803","52,345","53,960","55,664","57,452","59,314","61,238","63,214","65,250","67,355","69,519","71,730","73,975",,,
Chiquimula,Camotán,"45,483","46,927","48,440","50,037","51,714","53,462","55,270","57,130","59,050","61,038","63,084","65,177","67,308",,,
Chiquimula,Olopa,"21,742","22,354","22,993","23,668","24,376","25,111","25,869","26,646","27,444","28,268","29,113","29,974","30,845",,,
Chiquimula,Esquipulas,"50,433","51,786","53,201","54,694","56,258","57,882","59,555","61,266","63,024","64,835","66,689","68,574","70,479",,,
Chiquimula,Concepción Las Minas,"12,604","12,725","12,853","12,992","13,139","13,291","13,446","13,600","13,755","13,912","14,070","14,224","14,374",,,
Chiquimula,Quezaltepeque,"25,903","26,135","26,382","26,651","26,937","27,232","27,532","27,831","28,132","28,437","28,741","29,040","29,328",,,
Chiquimula,San Jacinto,"11,633","11,815","12,005","12,208","12,420","12,639","12,863","13,088","13,316","13,550","13,785","14,021","14,253",,,
Chiquimula,Ipala,"19,734","19,792","19,851","19,925","20,009","20,099","20,190","20,278","20,365","20,454","20,541","20,621","20,691",,,
Jalapa,Jalapa,"130,910","134,745","138,740","142,912","147,266","151,776","156,419","161,171","166,048","171,068","176,206","181,437","186,736",,,
Jalapa,San Pedro Pinula,"53,411","54,987","56,629","58,344","60,134","61,988","63,898","65,853","67,859","69,925","72,040","74,195","76,378",,,
Jalapa,San Luis Jilotepeque,"23,484","23,920","24,373","24,845","25,336","25,840","26,353","26,871","27,397","27,931","28,471","29,011","29,548",,,
Jalapa,San Manuel Chaparrón,"8,106","8,248","8,395","8,549","8,708","8,872","9,039","9,207","9,377","9,550","9,725","9,899","10,072",,,
Jalapa,San Carlos Alzatate,"15,701","16,237","16,798","17,386","18,000","18,640","19,301","19,982","20,685","21,411","22,159","22,925","23,707",,,
Jalapa,Monjas,"23,242","23,595","23,961","24,343","24,741","25,149","25,562","25,978","26,397","26,821","27,248","27,672","28,090",,,
Jalapa,Mataquescuintla,"39,073","40,024","41,011","42,041","43,113","44,219","45,352","46,504","47,681","48,885","50,110","51,349","52,594",,,
Jutiapa,Jutiapa,"124,622","127,848","131,314","135,182","139,342","143,749","148,355","153,110","158,054","163,227","168,579","174,056","179,603",,,
Jutiapa,El Progreso,"18,390","18,421","18,453","18,527","18,626","18,740","18,862","18,986","19,115","19,252","19,392","19,528","19,652",,,
Jutiapa,Santa Catarina Mita,"23,796","23,844","23,892","23,995","24,129","24,284","24,450","24,617","24,791","24,977","25,166","25,349","25,518",,,
Jutiapa,Agua Blanca,"14,384","14,399","14,415","14,464","14,531","14,611","14,697","14,784","14,875","14,973","15,072","15,168","15,255",,,
Jutiapa,Asunción Mita,"40,614","40,658","40,702","40,839","41,029","41,253","41,496","41,741","41,997","42,272","42,551","42,820","43,065",,,
Jutiapa,Yupiltepeque,"14,341","14,626","14,933","15,282","15,659","16,059","16,476","16,903","17,346","17,808","18,283","18,765","19,249",,,
Jutiapa,Atescatempa,"15,166","15,222","15,278","15,370","15,481","15,606","15,739","15,873","16,012","16,159","16,308","16,454","16,591",,,
Jutiapa,Jeréz,"5,176","5,182","5,188","5,206","5,231","5,260","5,292","5,323","5,357","5,392","5,428","5,463","5,495",,,
Jutiapa,El Adelanto,"5,439","5,457","5,475","5,506","5,544","5,587","5,632","5,678","5,726","5,776","5,827","5,877","5,924",,,
Jutiapa,Zapotitlán,"9,273","9,424","9,589","9,779","9,986","10,206","10,434","10,668","10,910","11,161","11,420","11,681","11,940",,,
Jutiapa,Comapa,"25,617","26,054","26,530","27,077","27,670","28,299","28,955","29,626","30,319","31,042","31,784","32,534","33,282",,,
Jutiapa,Jalpatagua,"23,965","24,256","24,581","24,968","25,392","25,845","26,317","26,798","27,294","27,811","28,339","28,869","29,391",,,
Jutiapa,Conguaco,"17,814","18,138","18,490","18,892","19,327","19,789","20,270","20,762","21,272","21,803","22,349","22,902","23,454",,,
Jutiapa,Moyuta,"36,852","37,295","37,790","38,378","39,025","39,716","40,435","41,168","41,924","42,712","43,517","44,324","45,120",,,
Jutiapa,Pasaco,"8,772","8,878","8,995","9,135","9,289","9,453","9,625","9,799","9,979","10,166","10,358","10,550","10,739",,,
Jutiapa,Acatempa,"12,600","12,802","13,024","13,280","13,558","13,854","14,161","14,476","14,801","15,140","15,487","15,838","16,187",,,
Jutiapa,Quezada,"19,175","19,479","19,811","20,195","20,613","21,057","21,519","21,991","22,479","22,987","23,508","24,035","24,558",,,
